Parameter,Date,Value,Ticker,Company,Type,Finacial Type,Created Date
EBIT,2019-03-31,8506.00000,BABA,alibaba,financial-ration,Q,05-29-20
EBIT,2018-03-31,11129.00000,BABA,alibaba,financial-ration,Q,05-29-20
EBIT,2017-03-31,6981.00000,BABA,alibaba,financial-ration,Q,05-29-20
EBIT,2016-03-31,4584.00000,BABA,alibaba,financial-ration,Q,05-29-20
EBIT,2015-03-31,3760.00000,BABA,alibaba,financial-ration,Q,05-29-20
EBIT,2014-03-31,4024.00000,BABA,alibaba,financial-ration,Q,05-29-20
EBIT,2013-03-31,1758.00000,BABA,alibaba,financial-ration,Q,05-29-20
EBIT,2012-03-31,806.49000,BABA,alibaba,financial-ration,Q,05-29-20
EBIT,2011-03-31,197.37480,BABA,alibaba,financial-ration,Q,05-29-20
EBIT,2010-03-31,63.77100,BABA,alibaba,financial-ration,Q,05-29-20
Basic Shares Outstanding,2019-03-31,2580.00000,BABA,alibaba,financial-ration,Q,05-29-20
Basic Shares Outstanding,2018-03-31,2553.00000,BABA,alibaba,financial-ration,Q,05-29-20
Basic Shares Outstanding,2017-03-31,2493.00000,BABA,alibaba,financial-ration,Q,05-29-20
Basic Shares Outstanding,2016-03-31,2458.00000,BABA,alibaba,financial-ration,Q,05-29-20
Basic Shares Outstanding,2015-03-31,2337.00000,BABA,alibaba,financial-ration,Q,05-29-20
Basic Shares Outstanding,2014-03-31,2175.00000,BABA,alibaba,financial-ration,Q,05-29-20
Basic Shares Outstanding,2013-03-31,2294.00000,BABA,alibaba,financial-ration,Q,05-29-20
Basic Shares Outstanding,2012-03-31,2479.00000,BABA,alibaba,financial-ration,Q,05-29-20
Basic Shares Outstanding,2011-03-31,2523.00000,BABA,alibaba,financial-ration,Q,05-29-20
Basic Shares Outstanding,2010-03-31,2351.00000,BABA,alibaba,financial-ration,Q,05-29-20
Shares Outstanding,2019-03-31,2623.00000,BABA,alibaba,financial-ration,Q,05-29-20
Shares Outstanding,2018-03-31,2610.00000,BABA,alibaba,financial-ration,Q,05-29-20
Shares Outstanding,2017-03-31,2573.00000,BABA,alibaba,financial-ration,Q,05-29-20
Shares Outstanding,2016-03-31,2562.00000,BABA,alibaba,financial-ration,Q,05-29-20
Shares Outstanding,2015-03-31,2500.00000,BABA,alibaba,financial-ration,Q,05-29-20
Shares Outstanding,2014-03-31,2332.00000,BABA,alibaba,financial-ration,Q,05-29-20
Shares Outstanding,2013-03-31,2389.00000,BABA,alibaba,financial-ration,Q,05-29-20
Shares Outstanding,2012-03-31,2522.00000,BABA,alibaba,financial-ration,Q,05-29-20
Shares Outstanding,2011-03-31,2523.00000,BABA,alibaba,financial-ration,Q,05-29-20
Shares Outstanding,2010-03-31,2351.00000,BABA,alibaba,financial-ration,Q,05-29-20
Basic EPS,2019-03-31,5.06000,BABA,alibaba,financial-ration,Q,05-29-20
Basic EPS,2018-03-31,4.00000,BABA,alibaba,financial-ration,Q,05-29-20
Basic EPS,2017-03-31,2.55000,BABA,alibaba,financial-ration,Q,05-29-20
Basic EPS,2016-03-31,4.51000,BABA,alibaba,financial-ration,Q,05-29-20
Basic EPS,2015-03-31,1.67000,BABA,alibaba,financial-ration,Q,05-29-20
Basic EPS,2014-03-31,1.71000,BABA,alibaba,financial-ration,Q,05-29-20
Basic EPS,2013-03-31,0.59000,BABA,alibaba,financial-ration,Q,05-29-20
Basic EPS,2012-03-31,0.27000,BABA,alibaba,financial-ration,Q,05-29-20
Basic EPS,2011-03-31,0.07000,BABA,alibaba,financial-ration,Q,05-29-20
Basic EPS,2010-03-31,-0.05000,BABA,alibaba,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2019-03-31,4.97000,BABA,alibaba,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2018-03-31,3.91000,BABA,alibaba,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2017-03-31,2.47000,BABA,alibaba,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2016-03-31,4.33000,BABA,alibaba,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2015-03-31,1.56000,BABA,alibaba,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2014-03-31,1.61000,BABA,alibaba,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2013-03-31,0.57000,BABA,alibaba,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2012-03-31,0.26000,BABA,alibaba,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2011-03-31,0.07000,BABA,alibaba,financial-ration,Q,05-29-20
EPS - Earnings Per Share,2010-03-31,-0.05000,BABA,alibaba,financial-ration,Q,05-29-20
