Parameter,Date,Value,Ticker,Company,Type,Finacial Type,Created Date
Operating Income,2006-09-30,2453.00000,AAPL,apple,financial-ration,Q,05-29-20
Operating Income,2005-09-30,1643.00000,AAPL,apple,financial-ration,Q,05-29-20
Total Non-Operating Income/Expense,2019-09-30,1807.00000,AAPL,apple,financial-ration,Q,05-29-20
Total Non-Operating Income/Expense,2018-09-30,2005.00000,AAPL,apple,financial-ration,Q,05-29-20
Total Non-Operating Income/Expense,2017-09-30,2745.00000,AAPL,apple,financial-ration,Q,05-29-20
Total Non-Operating Income/Expense,2016-09-30,1348.00000,AAPL,apple,financial-ration,Q,05-29-20
Total Non-Operating Income/Expense,2015-09-30,1285.00000,AAPL,apple,financial-ration,Q,05-29-20
Total Non-Operating Income/Expense,2014-09-30,980.00000,AAPL,apple,financial-ration,Q,05-29-20
Total Non-Operating Income/Expense,2013-09-30,1156.00000,AAPL,apple,financial-ration,Q,05-29-20
Total Non-Operating Income/Expense,2012-09-30,522.00000,AAPL,apple,financial-ration,Q,05-29-20
Total Non-Operating Income/Expense,2011-09-30,415.00000,AAPL,apple,financial-ration,Q,05-29-20
Total Non-Operating Income/Expense,2010-09-30,155.00000,AAPL,apple,financial-ration,Q,05-29-20
Total Non-Operating Income/Expense,2009-09-30,326.00000,AAPL,apple,financial-ration,Q,05-29-20
Total Non-Operating Income/Expense,2008-09-30,620.00000,AAPL,apple,financial-ration,Q,05-29-20
Total Non-Operating Income/Expense,2007-09-30,599.00000,AAPL,apple,financial-ration,Q,05-29-20
Total Non-Operating Income/Expense,2006-09-30,365.00000,AAPL,apple,financial-ration,Q,05-29-20
Total Non-Operating Income/Expense,2005-09-30,165.00000,AAPL,apple,financial-ration,Q,05-29-20
Pre-Tax Income,2019-09-30,65737.00000,AAPL,apple,financial-ration,Q,05-29-20
Pre-Tax Income,2018-09-30,72903.00000,AAPL,apple,financial-ration,Q,05-29-20
Pre-Tax Income,2017-09-30,64089.00000,AAPL,apple,financial-ration,Q,05-29-20
Pre-Tax Income,2016-09-30,61372.00000,AAPL,apple,financial-ration,Q,05-29-20
Pre-Tax Income,2015-09-30,72515.00000,AAPL,apple,financial-ration,Q,05-29-20
Pre-Tax Income,2014-09-30,53483.00000,AAPL,apple,financial-ration,Q,05-29-20
Pre-Tax Income,2013-09-30,50155.00000,AAPL,apple,financial-ration,Q,05-29-20
Pre-Tax Income,2012-09-30,55763.00000,AAPL,apple,financial-ration,Q,05-29-20
Pre-Tax Income,2011-09-30,34205.00000,AAPL,apple,financial-ration,Q,05-29-20
Pre-Tax Income,2010-09-30,18540.00000,AAPL,apple,financial-ration,Q,05-29-20
Pre-Tax Income,2009-09-30,12066.00000,AAPL,apple,financial-ration,Q,05-29-20
Pre-Tax Income,2008-09-30,8947.00000,AAPL,apple,financial-ration,Q,05-29-20
Pre-Tax Income,2007-09-30,5006.00000,AAPL,apple,financial-ration,Q,05-29-20
Pre-Tax Income,2006-09-30,2818.00000,AAPL,apple,financial-ration,Q,05-29-20
Pre-Tax Income,2005-09-30,1808.00000,AAPL,apple,financial-ration,Q,05-29-20
Income Taxes,2019-09-30,10481.00000,AAPL,apple,financial-ration,Q,05-29-20
Income Taxes,2018-09-30,13372.00000,AAPL,apple,financial-ration,Q,05-29-20
Income Taxes,2017-09-30,15738.00000,AAPL,apple,financial-ration,Q,05-29-20
Income Taxes,2016-09-30,15685.00000,AAPL,apple,financial-ration,Q,05-29-20
Income Taxes,2015-09-30,19121.00000,AAPL,apple,financial-ration,Q,05-29-20
Income Taxes,2014-09-30,13973.00000,AAPL,apple,financial-ration,Q,05-29-20
Income Taxes,2013-09-30,13118.00000,AAPL,apple,financial-ration,Q,05-29-20
Income Taxes,2012-09-30,14030.00000,AAPL,apple,financial-ration,Q,05-29-20
Income Taxes,2011-09-30,8283.00000,AAPL,apple,financial-ration,Q,05-29-20
Income Taxes,2010-09-30,4527.00000,AAPL,apple,financial-ration,Q,05-29-20
Income Taxes,2009-09-30,3831.00000,AAPL,apple,financial-ration,Q,05-29-20
Income Taxes,2008-09-30,2828.00000,AAPL,apple,financial-ration,Q,05-29-20
Income Taxes,2007-09-30,1511.00000,AAPL,apple,financial-ration,Q,05-29-20
Income Taxes,2006-09-30,829.00000,AAPL,apple,financial-ration,Q,05-29-20
Income Taxes,2005-09-30,480.00000,AAPL,apple,financial-ration,Q,05-29-20
Income After Taxes,2019-09-30,55256.00000,AAPL,apple,financial-ration,Q,05-29-20
Income After Taxes,2018-09-30,59531.00000,AAPL,apple,financial-ration,Q,05-29-20
Income After Taxes,2017-09-30,48351.00000,AAPL,apple,financial-ration,Q,05-29-20
Income After Taxes,2016-09-30,45687.00000,AAPL,apple,financial-ration,Q,05-29-20
Income After Taxes,2015-09-30,53394.00000,AAPL,apple,financial-ration,Q,05-29-20
Income After Taxes,2014-09-30,39510.00000,AAPL,apple,financial-ration,Q,05-29-20
Income After Taxes,2013-09-30,37037.00000,AAPL,apple,financial-ration,Q,05-29-20
Income After Taxes,2012-09-30,41733.00000,AAPL,apple,financial-ration,Q,05-29-20
Income After Taxes,2011-09-30,25922.00000,AAPL,apple,financial-ration,Q,05-29-20
Income After Taxes,2010-09-30,14013.00000,AAPL,apple,financial-ration,Q,05-29-20
Income After Taxes,2009-09-30,8235.00000,AAPL,apple,financial-ration,Q,05-29-20
Income After Taxes,2008-09-30,6119.00000,AAPL,apple,financial-ration,Q,05-29-20
Income After Taxes,2007-09-30,3495.00000,AAPL,apple,financial-ration,Q,05-29-20
Income After Taxes,2006-09-30,1989.00000,AAPL,apple,financial-ration,Q,05-29-20
Income After Taxes,2005-09-30,1328.00000,AAPL,apple,financial-ration,Q,05-29-20
Other Income,2019-09-30,,AAPL,apple,financial-ration,Q,05-29-20
Other Income,2018-09-30,,AAPL,apple,financial-ration,Q,05-29-20
Other Income,2017-09-30,,AAPL,apple,financial-ration,Q,05-29-20
Other Income,2016-09-30,,AAPL,apple,financial-ration,Q,05-29-20
Other Income,2015-09-30,,AAPL,apple,financial-ration,Q,05-29-20
Other Income,2014-09-30,,AAPL,apple,financial-ration,Q,05-29-20
Other Income,2013-09-30,,AAPL,apple,financial-ration,Q,05-29-20
Other Income,2012-09-30,,AAPL,apple,financial-ration,Q,05-29-20
Other Income,2011-09-30,,AAPL,apple,financial-ration,Q,05-29-20
Other Income,2010-09-30,,AAPL,apple,financial-ration,Q,05-29-20
Other Income,2009-09-30,,AAPL,apple,financial-ration,Q,05-29-20
Other Income,2008-09-30,,AAPL,apple,financial-ration,Q,05-29-20
